item_id	path_type	path	bytes	sha16	depth	reason
DO_NOT_WISH_CODING-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-004	file	.gitignore	184	b028b5b840c7b993	0	metadata only; not algorithm behavior
DO_NOT_WISH_CODING-SKIP-005	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-006	directory	docs/images	0	-	2	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-007	directory	tests/fixtures	0	-	2	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-008	directory	tests/mocks	0	-	2	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-009	file	.claude-plugin/marketplace.json	426	ed74b33f9b014e55	2	plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-010	file	.claude-plugin/plugin.json	637	90e4ede74c60b267	2	plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-011	file	.claude/CLAUDE.md	1479	39aedaa403b617e6	2	local assistant instruction surface; not repository algorithm behavior
DO_NOT_WISH_CODING-SKIP-012	file	docs/install-for-claude.md	1878	fc7ec9081fa6ff0c	2	installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-013	file	docs/install-for-codex.md	1871	4109e9060af58438	2	installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-014	file	docs/install-for-kimi.md	5284	aeb0ba2ad697ef5e	2	installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-015	file	scripts/install-skill.sh	8579	aa3772d577dad2c7	2	installer utility; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-016	file	scripts/install-skills-codex.sh	215	23eb8215d007e80c	2	installer utility; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-017	file	scripts/install-skills-kimi.sh	213	e2e97dffdd7f8854	2	installer utility; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-018	file	.github/workflows/plan-file-test.yml	1774	abbdbc88c4cc909f	3	CI workflow; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-019	file	.github/workflows/run-all-tests.yml	445	f69083814fe0d2ff	3	CI workflow; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-020	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-021	file	.github/workflows/template-test.yml	2150	f7bcd9ce40bf1809	3	CI workflow; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-022	file	.github/workflows/version-bump-check.yml	5615	5d58351e053c0df7	3	CI workflow; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-023	file	docs/images/monitor.png	31374	ebeab686c461fdfb	3	binary or generated asset; no algorithm text/code to research
DO_NOT_WISH_CODING-SKIP-024	file	docs/images/rlcr-workflow.svg	5569	fd50911117c44191	3	binary or generated asset; no algorithm text/code to research
DO_NOT_WISH_CODING-SKIP-025	file	tests/fixtures/comment-reactions.json	142	f7d65ec67f648747	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-026	file	tests/fixtures/issue-comments.json	102	5cd95080cf7416c2	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-027	file	tests/fixtures/issue_comments.json	658	ced611db7e54cefc	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-028	file	tests/fixtures/pr-reviews.json	134	8d0dfa2305063094	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-029	file	tests/fixtures/pr_reviews.json	827	ff87c6739a885694	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-030	file	tests/fixtures/reactions.json	113	4e52cd2296f73ada	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-031	file	tests/fixtures/review-comments.json	3	37517e5f3dc66819	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-032	file	tests/fixtures/review_comments.json	512	eb230b1311e2a44c	3	fixture/mock data; not a core algorithm file
DO_NOT_WISH_CODING-SKIP-033	file	tests/mocks/gh	8527	1323275975b9d866	3	fixture/mock data; not a core algorithm file
